07:19:42.202 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [statikk.dataminer.DataMinerApplicationTests], using DelegatingSmartContextLoader
07:19:42.222 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [statikk.dataminer.DataMinerApplicationTests]: no resource found for suffixes {-context.xml}.
07:19:42.224 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [statikk.dataminer.DataMinerApplicationTests]: DataMinerApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
07:19:42.301 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
07:19:42.334 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@75f9eccc, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@52aa2946, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@4de5031f, org.springframework.test.context.support.DirtiesContextTestExecutionListener@67e2d983, org.springframework.test.context.transaction.TransactionalTestExecutionListener@5d47c63f, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@5ea434c8, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@3bbc39f8, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@4ae3c1cd, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@29f69090, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@568bf312, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@ca263c2, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@589b3632]
07:19:42.342 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [statikk.dataminer.DataMinerApplicationTests], using DelegatingSmartContextLoader
07:19:42.343 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [statikk.dataminer.DataMinerApplicationTests]: no resource found for suffixes {-context.xml}.
07:19:42.343 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [statikk.dataminer.DataMinerApplicationTests]: DataMinerApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
07:19:42.354 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
07:19:42.355 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@657c8ad9, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@436a4e4b, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@f2f2cc1, org.springframework.test.context.support.DirtiesContextTestExecutionListener@3a079870, org.springframework.test.context.transaction.TransactionalTestExecutionListener@3b2cf7ab, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2aa5fe93, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5c1a8622, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@5ad851c9, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@6156496, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@3c153a1, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@b62fe6d, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@13acb0d1]
07:19:42.436 [main] INFO  o.s.c.s.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@2fd6b6c7: startup date [Thu Nov 02 07:19:42 MDT 2017]; root of context hierarchy
